:852&1606293115-1.9.0-281&17:296&32:194&33:213&18:105
&852&1606317354&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.7,12.8,971,15.83&18:10000,10.7&0:33.1
&852&1606317654&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.7&0:32.9
&852&1606317954&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.7&0:32.7
&852&1606318254&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.7,12.9,971,15.83&18:10000,10.7&0:32.5
&852&1606318554&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.8&0:32.3
&852&1606318854&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.6,12.9,971,15.82&18:10000,10.7&0:32.1
&852&1606319154&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.7&0:31.8
&852&1606319454&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.8&0:31.5
&852&1606319754&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.6,13.0,971,15.82&18:10000,10.8&0:31.1
&852&1606320054&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.7,13.0,972,15.81&18:10000,10.9&0:30.8
&852&1606320354&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.6,13.0,971,15.82&18:10000,10.9&0:30.5
&852&1606320654&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.9&0:30.2
&852&1606320954&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.9&0:29.9
&852&1606321254&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.9&0:29.6
&852&1606321554&17:10000,14.5&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&18:10000,10.8&0:29.3
&852&1606321854&17:10000,14.6&32:-1.0,-1.0,-1,-1.00&33:153.6,13.0,971,15.82&18:10000,10.9&0:28.9
&852&1606322154&17:10000,14.7&32:-1.0,-1.0,-1,-1.00&33:153.7,13.0,972,15.81&18:10000,10.9&0:28.5
&852&1606322454&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,10.9&0:28.3
&852&1606322754&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.5,13.1,972,15.79&18:10000,11.0&0:28.0
&852&1606323054&17:10000,14.8&32:-1.0,-1.0,-1,-1.00&33:153.7,13.1,972,15.81&18:10000,11.0&0:27.8
