"","DateTime","Status","Valve","Measurement time","correctvalve_a","logtime_a","wavelength","absorbance","Depth"
"220",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"500nm",4.832,"1.6"
"221",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"600nm",4.5359,"1.6"
"222",2020-05-01 04:49:59,"Ok",2,"20/5/1 4:51",2,1588322908,"700nm",4.2728,"1.6"
"223",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"200nm",18.1352,"1.6"
"224",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"300nm",7.8102,"1.6"
"225",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"400nm",5.729,"1.6"
"226",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"500nm",4.7384,"1.6"
"227",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"600nm",4.4476,"1.6"
"228",2020-05-01 06:59:59,"Ok",2,"20/5/1 7:1",2,1588330708,"700nm",4.1895,"1.6"
"229",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"200nm",19.1501,"1.6"
"230",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"300nm",7.9142,"1.6"
"231",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"400nm",5.83,"1.6"
"232",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"500nm",4.8229,"1.6"
"233",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"600nm",4.5349,"1.6"
"234",2020-05-01 09:09:59,"Ok",2,"20/5/1 9:11",2,1588338508,"700nm",4.2726,"1.6"
"235",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"200nm",17.6973,"1.6"
"236",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"300nm",7.8447,"1.6"
"237",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"400nm",5.7796,"1.6"
"238",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"500nm",4.802,"1.6"
"239",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"600nm",4.5101,"1.6"
"240",2020-05-01 11:19:59,"Ok",2,"20/5/1 11:21",2,1588346308,"700nm",4.273,"1.6"
"241",2020-05-01 13:49:59,"Ok",2,"20/5/1 13:51",2,1588355308,"200nm",17.7849,"1.6"
"242",2020-05-01 13:49:59,"Ok",2,"20/5/1 13:51",2,1588355308,"300nm",7.8084,"1.6"
"243",2020-05-01 13:49:59,"Ok",2,"20/5/1 13:51",2,1588355308,"400nm",5.7576,"1.6"
