Time, Valve, Pump Dir, Pump Time, Measure Time, Purge Time, Notes
2020/8/1 8:15:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 8:18:18, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 8:18:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 8:18:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 8:25:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 8:28:08, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 8:28:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 8:28:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 8:35:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 8:37:55, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 8:38:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 8:38:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 8:44:58, 5, Forward, 45, 120, 15, Automatic
2020/8/1 8:47:43, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 8:47:59, 12, Forward, 12, 1, 15, Automatic
2020/8/1 8:48:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 8:54:43, 6, Forward, 50, 120, 15, Automatic
2020/8/1 8:57:33, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 8:57:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 8:58:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 9:04:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 9:07:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 9:07:36, 9, Forward, 7, 20, 15, Automatic
2020/8/1 9:08:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 9:14:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 9:14:38, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 9:14:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 9:17:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 9:23:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 9:26:28, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 9:26:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 9:26:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 9:33:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 9:36:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 9:36:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 9:36:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 9:43:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 9:46:08, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 9:46:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 9:46:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 9:53:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 9:55:55, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 9:56:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 9:56:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 10:02:58, 5, Forward, 45, 120, 15, Automatic
2020/8/1 10:05:43, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 10:05:59, 12, Forward, 12, 1, 15, Automatic
2020/8/1 10:06:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 10:12:43, 6, Forward, 50, 120, 15, Automatic
2020/8/1 10:15:34, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 10:15:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 10:16:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 10:22:28, 7, Forward, 52, 120, 15, Automatic
2020/8/1 10:25:20, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 10:25:36, 9, Forward, 7, 20, 15, Automatic
2020/8/1 10:26:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 10:32:13, 12, Forward, 20, 5, 15, Automatic
2020/8/1 10:32:39, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 10:32:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 10:35:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 10:41:58, 1, Forward, 30, 120, 15, Automatic
2020/8/1 10:44:29, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 10:44:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 10:44:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 10:51:43, 2, Forward, 35, 120, 15, Automatic
2020/8/1 10:54:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 10:54:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 10:54:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 11:01:28, 3, Forward, 40, 120, 15, Automatic
2020/8/1 11:04:09, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 11:04:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 11:04:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 11:11:13, 4, Forward, 42, 120, 15, Automatic
2020/8/1 11:13:56, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 11:14:11, 10, Forward, 1, 1, 1, Automatic
2020/8/1 11:14:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 11:20:59, 5, Forward, 45, 120, 15, Automatic
2020/8/1 11:23:44, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 11:23:59, 12, Forward, 12, 1, 15, Automatic
2020/8/1 11:24:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 11:30:44, 6, Forward, 50, 120, 15, Automatic
2020/8/1 11:33:34, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 11:33:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 11:34:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 11:40:29, 7, Forward, 52, 120, 15, Automatic
2020/8/1 11:43:21, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 11:43:36, 9, Forward, 7, 20, 15, Automatic
2020/8/1 11:44:03, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 11:50:14, 12, Forward, 20, 5, 15, Automatic
2020/8/1 11:50:39, 12, Reverse, 20, 5, 15, Automatic
2020/8/1 11:50:54, 10, Forward, 10, 120, 5, Automatic
2020/8/1 11:53:04, 10, Reverse, 10, 120, 5, Automatic
2020/8/1 11:59:59, 1, Forward, 30, 120, 15, Automatic
2020/8/1 12:02:29, 8, Reverse, 30, 120, 15, Automatic
2020/8/1 12:02:44, 10, Forward, 1, 1, 1, Automatic
2020/8/1 12:02:46, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 12:09:44, 2, Forward, 35, 120, 15, Automatic
2020/8/1 12:12:19, 8, Reverse, 35, 120, 15, Automatic
2020/8/1 12:12:34, 10, Forward, 1, 1, 1, Automatic
2020/8/1 12:12:36, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 12:19:29, 3, Forward, 40, 120, 15, Automatic
2020/8/1 12:22:09, 8, Reverse, 40, 120, 15, Automatic
2020/8/1 12:22:24, 12, Forward, 12, 5, 15, Automatic
2020/8/1 12:22:41, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 12:29:14, 4, Forward, 42, 120, 15, Automatic
2020/8/1 12:31:56, 8, Reverse, 42, 120, 15, Automatic
2020/8/1 12:32:12, 10, Forward, 1, 1, 1, Automatic
2020/8/1 12:32:13, 10, Reverse, 1, 1, 1, Automatic
2020/8/1 12:38:59, 5, Forward, 45, 120, 15, Automatic
2020/8/1 12:41:44, 8, Reverse, 45, 120, 15, Automatic
2020/8/1 12:41:59, 12, Forward, 12, 1, 15, Automatic
2020/8/1 12:42:12, 12, Reverse, 12, 1, 15, Automatic
2020/8/1 12:48:44, 6, Forward, 50, 120, 15, Automatic
2020/8/1 12:51:34, 8, Reverse, 50, 120, 15, Automatic
2020/8/1 12:51:49, 12, Forward, 12, 5, 15, Automatic
2020/8/1 12:52:06, 12, Reverse, 12, 5, 15, Automatic
2020/8/1 12:58:29, 7, Forward, 52, 120, 15, Automatic
2020/8/1 13:01:21, 8, Reverse, 52, 120, 15, Automatic
2020/8/1 13:01:37, 9, Forward, 7, 20, 15, Automatic
2020/8/1 13:02:04, 9, Reverse, 7, 20, 15, Automatic
2020/8/1 13:08:14, 12, Forward, 20, 5, 15, Automatic
