:610&1617625353-1.9.0-281&17:296&32:194&33:213&18:105
&610&1617654094&17:0,0.0&32:125.3,15.1,974,12.86&33:191.2,16.0,981,19.49&18:0,0.0&0:28.4
&610&1617654394&17:128,0.0&32:125.0,15.2,974,12.84&33:191.3,16.0,981,19.50&18:65535,655.3&0:28.3
&610&1617654694&17:0,0.0&32:125.0,15.1,974,12.84&33:191.2,15.9,981,19.49&18:0,0.0&0:28.3
&610&1617654994&17:0,0.0&32:125.1,15.2,974,12.84&33:191.3,16.0,981,19.51&18:0,0.0&0:28.2
&610&1617655294&17:0,0.0&32:125.1,15.1,974,12.85&33:191.4,16.0,981,19.51&18:65535,655.3&0:28.0
&610&1617655594&17:0,0.0&32:125.2,15.1,974,12.85&33:191.3,16.0,981,19.50&18:65535,655.3&0:27.7
&610&1617655894&17:0,0.0&32:125.0,15.1,974,12.84&33:191.3,16.0,981,19.50&18:0,0.0&0:27.5
&610&1617656194&17:0,0.0&32:124.9,15.1,974,12.83&33:191.3,16.0,981,19.50&18:65535,655.3&0:27.4
&610&1617656494&17:0,0.0&32:125.1,15.1,974,12.84&33:191.4,16.0,981,19.51&18:0,0.0&0:27.4
&610&1617656794&17:0,0.0&32:125.0,15.1,974,12.84&33:190.9,16.0,981,19.46&18:0,0.0&0:27.4
&610&1617657094&17:0,0.0&32:125.3,15.1,974,12.86&33:191.0,16.0,981,19.47&18:0,0.0&0:27.4
&610&1617657394&17:0,0.0&32:124.9,15.1,974,12.82&33:191.1,16.0,982,19.46&18:65535,655.3&0:27.4
&610&1617657694&17:0,0.0&32:124.9,15.1,974,12.83&33:191.1,16.0,982,19.46&18:65535,655.3&0:27.2
&610&1617657994&17:0,0.0&32:124.8,15.1,974,12.82&33:191.2,16.0,981,19.49&18:0,0.0&0:27.2
&610&1617658294&17:0,0.0&32:125.4,15.1,974,12.88&33:191.1,16.0,981,19.48&18:0,0.0&0:27.1
&610&1617658594&17:128,0.0&32:125.2,15.0,974,12.86&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.2
&610&1617658894&17:0,0.0&32:125.1,15.0,974,12.85&33:191.3,16.0,982,19.48&18:65535,655.3&0:27.1
&610&1617659194&17:0,0.0&32:125.1,15.0,974,12.85&33:191.2,16.0,981,19.49&18:65535,655.3&0:27.1
&610&1617659494&17:65535,655.3&32:125.0,15.0,974,12.83&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.0
&610&1617659794&17:0,0.0&32:125.2,15.0,974,12.86&33:191.2,16.0,982,19.47&18:65535,655.3&0:27.0
&610&1617660094&17:0,0.0&32:125.0,15.0,974,12.84&33:191.1,16.0,982,19.46&18:65535,655.3&0:27.1
&610&1617660394&17:0,0.0&32:125.0,15.0,974,12.84&33:191.1,16.0,981,19.49&18:65535,655.3&0:27.1
&610&1617660694&17:0,0.0&32:125.0,15.0,974,12.83&33:191.3,16.0,981,19.50&18:0,0.0&0:27.2
&610&1617660994&17:0,0.0&32:124.9,15.0,974,12.82&33:191.2,16.0,981,19.49&18:65535,655.3&0:27.3
&610&1617661294&17:0,0.0&32:124.9,14.9,973,12.83&33:191.0,16.0,981,19.47&18:0,0.0&0:27.2
&610&1617661594&17:0,0.0&32:125.2,15.0,974,12.85&33:191.4,16.0,981,19.51&18:65535,655.3&0:27.2
&610&1617661894&17:0,0.0&32:124.9,15.0,973,12.83&33:191.5,16.0,981,19.52&18:0,0.0&0:27.2
&610&1617662194&17:0,0.0&32:125.1,15.0,973,12.86&33:191.4,16.0,981,19.51&18:65535,655.3&0:27.2
&610&1617662494&17:0,0.0&32:125.0,15.0,974,12.83&33:191.1,16.0,981,19.48&18:65535,655.3&0:27.1
&610&1617662794&17:0,0.0&32:125.0,15.0,974,12.83&33:191.3,16.0,981,19.50&18:65535,655.3&0:27.1
&610&1617663094&17:0,0.0&32:124.8,15.0,974,12.81&33:191.0,16.0,981,19.47&18:65535,655.3&0:27.1
&610&1617663394&17:0,0.0&32:125.0,15.0,973,12.84&33:191.5,16.0,981,19.52&18:65535,655.3&0:27.1
&610&1617663694&17:0,0.0&32:124.8,15.0,974,12.81&33:191.0,16.0,981,19.47&18:0,0.0&0:27.0
&610&1617663994&17:0,0.0&32:124.9,15.0,973,12.84&33:191.2,16.0,981,19.49&18:65535,655.3&0:26.9
&610&1617664294&17:7973,14.1&32:125.0,14.9,973,12.84&33:191.5,16.0,981,19.53&18:0,0.0&0:26.8
&610&1617664594&17:0,0.0&32:124.9,15.0,973,12.83&33:191.2,16.0,982,19.47&18:65535,655.3&0:26.6
&610&1617664894&17:0,0.0&32:124.9,15.0,973,12.84&33:191.2,16.0,982,19.47&18:65535,655.3&0:26.5
&610&1617665194&17:0,0.0&32:124.8,14.9,973,12.83&33:191.4,16.0,982,19.49&18:65535,655.3&0:26.3
&610&1617665494&17:0,0.0&32:124.8,14.9,973,12.82&33:191.1,16.0,982,19.46&18:65535,655.3&0:26.1
&610&1617665794&17:0,0.0&32:124.9,14.9,973,12.84&33:191.2,16.0,982,19.47&18:65535,655.3&0:26.0
&610&1617666094&17:0,0.0&32:124.8,14.9,973,12.83&33:191.4,16.0,982,19.50&18:65535,655.3&0:25.9
&610&1617666394&17:0,0.0&32:124.7,14.9,973,12.81&33:191.3,16.0,982,19.48&18:65535,655.3&0:25.9
