:819&1611236963-1.9.0-281&17:296&32:194&33:213&18:105
&819&1611282960&17:10000,1.6&32:254.1,253.1,254,252.50&33:139.3,4.0,930,14.98&18:10000,1.9&0:15.9
&819&1611283260&17:10000,1.6&32:244.3,244.4,255,255.20&33:139.1,4.0,931,14.94&18:10000,1.9&0:15.7
&819&1611283560&17:10000,1.5&32:243.2,244.1,244,244.80&33:139.4,3.9,930,14.99&18:10000,1.9&0:15.8
&819&1611283860&17:10000,1.5&32:268.0,254.7,251,250.80&33:139.4,3.9,930,14.99&18:10000,1.9&0:15.9
&819&1611284160&17:10000,1.6&32:246.5,246.6,248,252.60&33:139.3,3.9,930,14.98&18:10000,1.9&0:15.9
&819&1611284460&17:10000,1.5&32:244.5,244.5,244,245.40&33:139.4,4.0,931,14.97&18:10000,1.9&0:15.9
&819&1611284760&17:10000,1.5&32:239.4,253.6,252,252.40&33:139.4,3.9,930,14.99&18:10000,1.9&0:15.9
&819&1611285060&17:10000,1.6&32:244.7,244.8,244,244.20&33:139.6,4.0,930,15.01&18:10000,1.9&0:16.0
&819&1611285360&17:10000,1.5&32:249.7,253.5,254,243.80&33:139.4,3.9,930,14.99&18:10000,1.9&0:16.0
&819&1611285660&17:10000,1.5&32:250.4,251.5,252,253.70&33:139.3,4.1,931,14.97&18:10000,1.9&0:16.0
&819&1611285960&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.5,4.0,931,14.98&18:10000,1.9&0:16.0
&819&1611286260&17:10000,1.5&32:300.0,300.0,282,300.00&33:139.4,4.0,930,14.99&18:10000,1.9&0:16.1
&819&1611286560&17:10000,1.6&32:300.0,271.5,300,256.90&33:139.3,3.9,930,14.98&18:10000,1.9&0:16.2
&819&1611286860&17:10000,1.5&32:247.1,247.1,246,252.20&33:139.6,3.9,930,15.01&18:10000,1.8&0:16.3
&819&1611287160&17:10000,1.6&32:246.0,245.9,251,254.90&33:139.1,3.8,930,14.96&18:10000,1.8&0:16.4
&819&1611287460&17:10000,1.6&32:254.0,254.0,249,245.70&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.3
&819&1611287760&17:10000,1.6&32:244.6,244.6,244,248.70&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.4
&819&1611288060&17:10000,1.5&32:300.0,300.0,300,285.40&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611288360&17:10000,1.6&32:300.0,300.0,300,262.40&33:139.6,3.9,930,15.01&18:10000,1.9&0:16.5
&819&1611288660&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.5
&819&1611288960&17:10000,1.5&32:300.0,300.0,300,300.00&33:139.6,3.9,930,15.01&18:10000,1.9&0:16.5
&819&1611289260&17:10000,1.6&32:300.0,297.6,300,290.50&33:139.3,3.9,930,14.97&18:10000,1.8&0:17.0
&819&1611289560&17:10000,1.5&32:300.0,300.0,252,242.20&33:139.3,3.9,930,14.98&18:10000,1.9&0:16.9
&819&1611289860&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.6,3.9,930,15.01&18:10000,1.8&0:16.7
&819&1611290160&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.3,4.0,930,14.98&18:10000,1.8&0:16.7
&819&1611290460&17:10000,1.5&32:300.0,300.0,254,250.80&33:139.3,4.0,930,14.98&18:10000,1.9&0:16.7
&819&1611290760&17:10000,1.6&32:266.8,261.1,261,300.00&33:139.6,4.0,931,14.99&18:10000,1.8&0:16.8
&819&1611291060&17:10000,1.5&32:0.0,209.3,299,252.00&33:139.6,4.0,930,15.01&18:10000,1.9&0:16.8
&819&1611291360&17:10000,1.6&32:300.0,36.2,300,300.00&33:139.2,4.0,930,14.97&18:10000,1.9&0:16.8
&819&1611291660&17:10000,1.5&32:0.0,300.0,29,300.00&33:139.3,3.9,930,14.97&18:10000,1.9&0:16.7
&819&1611291960&17:10000,1.5&32:0.0,84.8,300,300.00&33:139.6,3.9,930,15.01&18:10000,1.8&0:16.7
&819&1611292260&17:10000,1.5&32:0.0,0.0,0,0.00&33:139.2,4.0,930,14.97&18:10000,1.8&0:16.7
&819&1611292560&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.3,3.9,930,14.98&18:10000,1.9&0:16.7
&819&1611292860&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.5,3.9,930,15.00&18:10000,1.9&0:16.6
&819&1611293160&17:10000,1.6&32:300.0,300.0,273,244.80&33:139.3,3.9,930,14.98&18:10000,1.8&0:16.6
&819&1611293460&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,139.2,930,14.97&18:10000,1.8&0:16.5
&819&1611293760&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,139.2,930,14.97&18:10000,1.9&0:16.4
&819&1611294060&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,139.6,930,15.01&18:10000,1.8&0:16.4
&819&1611294360&17:10000,1.6&32:0.0,275.3,62,0.00&33:139.3,4.0,930,14.97&18:10000,1.9&0:16.5
&819&1611294660&17:10000,1.5&32:0.0,0.0,300,300.00&33:139.2,3.9,930,14.97&18:10000,1.9&0:16.4
&819&1611294960&17:10000,1.5&32:0.0,0.0,0,256.00&33:139.1,3.9,930,14.96&18:10000,1.8&0:16.5
&819&1611295260&17:10000,1.5&32:0.0,0.0,0,0.00&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611295560&17:10000,1.6&32:0.0,0.0,0,0.00&33:139.2,3.9,930,14.96&18:10000,1.8&0:16.4
&819&1611295860&17:10000,1.6&32:64.6,292.5,300,300.00&33:139.6,3.9,930,15.01&18:10000,1.8&0:16.3
&819&1611296160&17:10000,1.6&32:0.0,250.2,300,300.00&33:139.2,3.9,930,14.97&18:10000,1.8&0:16.3
&819&1611296460&17:10000,1.6&32:0.0,31.8,263,300.00&33:139.5,3.9,930,15.00&18:10000,1.8&0:16.4
&819&1611296760&17:10000,1.6&32:0.0,0.0,296,266.30&33:139.1,3.9,930,14.96&18:10000,1.8&0:16.5
&819&1611297060&17:10000,1.6&32:0.0,0.0,0,0.00&33:139.4,3.9,930,14.98&18:10000,1.8&0:16.7
&819&1611297360&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.4,3.9,930,14.98&18:10000,1.8&0:16.9
&819&1611297660&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.4,3.9,930,14.99&18:10000,1.8&0:17.0
&819&1611297960&17:10000,1.6&32:0.0,0.0,169,300.00&33:139.0,3.9,930,14.95&18:10000,1.8&0:17.1
&819&1611298260&17:10000,1.7&32:0.0,0.0,0,186.60&33:139.5,3.9,930,15.00&18:10000,1.8&0:17.2
&819&1611298560&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.4,4.0,931,14.98&18:10000,1.9&0:17.4
&819&1611298860&17:10000,1.7&32:57.1,300.0,300,300.00&33:139.6,4.0,931,14.99&18:10000,1.9&0:17.6
&819&1611299160&17:10000,1.7&32:300.0,300.0,300,300.00&33:139.5,4.1,931,14.98&18:10000,1.9&0:17.8
&819&1611299460&17:10000,1.6&32:300.0,300.0,300,2.00&33:139.4,4.1,931,14.98&18:10000,1.9&0:18.0
&819&1611299760&17:10000,1.6&32:300.0,300.0,282,4.00&33:139.3,4.1,931,14.96&18:10000,1.9&0:18.3
&819&1611300060&17:10000,1.6&32:300.0,300.0,2,1.00&33:139.4,4.0,931,14.97&18:10000,1.9&0:18.3
&819&1611300360&17:10000,1.6&32:300.0,300.0,300,300.00&33:139.6,3.9,931,15.00&18:10000,1.8&0:18.5
&819&1611300660&17:10000,1.6&32:300.0,248.9,249,245.00&33:139.5,3.9,930,15.00&18:10000,1.8&0:18.7
&819&1611300960&17:10000,1.7&32:300.0,300.0,300,4.00&33:139.4,3.9,931,14.97&18:10000,1.9&0:18.8
&819&1611301260&17:10000,1.6&32:300.0,300.0,300,289.10&33:139.2,3.9,931,14.95&18:10000,1.9&0:19.0
&819&1611301560&17:10000,1.6&32:248.4,244.9,245,2.00&33:139.6,3.9,931,15.00&18:10000,1.8&0:19.1
&819&1611301860&17:10000,1.6&32:245.1,245.0,2,1.00&33:139.2,3.9,931,14.95&18:10000,1.8&0:19.2
