"TOA5","CR3000","CR3000","10344","CR3000.Std.32.02","CPU:CR3000_6Sensors_21MAY18.CR3","18979","stats"
"TIMESTAMP","RECORD","AirTC_mean","e_hmp_mean","RH_mean","t_dew_hmp_mean","duty_cycle"
"TS","RN","C","kPa","percent","C",""
"","","Smp","Smp","Smp","Smp","Smp"
"2018-06-04 15:36:00",20304,27.0011,1.135402,31.84851,8.853652,1
"2018-06-04 15:37:00",20305,27.03631,1.121368,31.39011,8.669783,1
"2018-06-04 15:38:00",20306,26.88254,1.131311,31.95575,8.800342,1
"2018-06-04 15:39:00",20307,26.7617,1.134693,32.27972,8.844472,1
"2018-06-04 15:40:00",20308,26.77569,1.163343,33.06754,9.214115,1
"2018-06-04 15:41:00",20309,26.8922,1.165743,32.90934,9.244617,1
"2018-06-04 15:42:00",20310,27.06744,1.153552,32.23208,9.088739,1
"2018-06-04 15:43:00",20311,27.22758,1.168804,32.35221,9.283345,1
"2018-06-04 15:44:00",20312,27.58463,1.202786,32.60477,9.710013,1
"2018-06-04 15:45:00",20313,27.86302,1.221154,32.5688,9.936047,1
"2018-06-04 15:46:00",20314,28.17538,1.243875,32.57614,10.21144,1
"2018-06-04 15:47:00",20315,28.25979,1.302669,33.94955,10.90475,1
"2018-06-04 15:48:00",20316,27.95853,1.327859,35.21799,11.19309,1
"2018-06-04 15:49:00",20317,27.59043,1.337412,36.24156,11.30116,1
"2018-06-04 15:50:00",20318,27.29556,1.253091,34.54734,10.32192,1
"2018-06-04 15:51:00",20319,27.08414,1.207609,33.70914,9.769636,1
"2018-06-04 15:52:00",20320,27.01143,1.195757,33.52117,9.622705,1
"2018-06-04 15:53:00",20321,26.92629,1.135786,31.99943,8.858604,1
"2018-06-04 15:54:00",20322,26.88289,1.047402,29.58484,7.665123,1
"2018-06-04 15:55:00",20323,26.89805,1.113669,31.42847,8.567857,1
"2018-06-04 15:56:00",20324,26.90195,1.121577,31.6448,8.672592,1
"2018-06-04 15:57:00",20325,27.18019,1.116569,30.99242,8.606091,1
"2018-06-04 15:58:00",20326,27.19181,1.222949,33.92238,9.95797,1
"2018-06-04 15:59:00",20327,26.95229,1.162204,32.69349,9.199322,1
"2018-06-04 16:00:00",20328,26.59258,1.027661,29.52718,7.3864,1
"2018-06-04 16:01:00",20329,26.60226,1.095345,31.45429,8.323236,1
"2018-06-04 16:02:00",20330,26.59317,1.013637,29.12329,7.185572,1
"2018-06-04 16:03:00",20331,26.65034,1.15755,33.14648,9.140048,1
"2018-06-04 16:04:00",20332,26.77518,1.123961,31.94921,8.703951,1
"2018-06-04 16:05:00",20333,26.59445,1.029873,29.58716,7.417711,1
"2018-06-04 16:06:00",20334,26.38417,1.102194,32.06043,8.415152,1
"2018-06-04 16:07:00",20335,26.39244,1.117364,32.4856,8.61685,1
