:1730&1599824320-1.7.0-253&17:101&32:195&33:214&38:100&18:102
&1730&1599824336&17:0&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&38:10000&18:65535
&1730&1599878452&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599879053&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599879654&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599880255&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599880856&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,76.7,77,76.70&38:10000&18:65535
&1730&1599881457&17:0&32:-1.0,-1.0,-1,-1.00&33:76.8,76.8,77,76.80&38:10000&18:65535
&1730&1599882059&17:0&32:-1.0,-1.0,-1,-1.00&33:76.6,76.6,77,76.70&38:10000&18:65535
&1730&1599882660&17:0&32:-1.0,-1.0,-1,-1.00&33:76.5,76.5,76,76.50&38:10000&18:65535
&1730&1599883261&17:0&32:-1.0,-1.0,-1,-1.00&33:76.5,76.6,77,76.60&38:10000&18:65535
&1730&1599883863&17:0&32:-1.0,-1.0,-1,-1.00&33:76.3,76.3,76,76.30&38:10000&18:65535
&1730&1599884464&17:0&32:-1.0,-1.0,-1,-1.00&33:76.1,76.1,76,76.10&38:10000&18:65535
&1730&1599885066&17:0&32:-1.0,-1.0,-1,-1.00&33:76.3,76.3,76,76.30&38:10000&18:65535
&1730&1599885667&17:0&32:-1.0,-1.0,-1,-1.00&33:76.3,76.3,76,76.30&38:10000&18:65535
&1730&1599886269&17:0&32:-1.0,-1.0,-1,-1.00&33:75.5,75.5,76,75.50&38:10000&18:65535
&1730&1599886870&17:0&32:-1.0,-1.0,-1,-1.00&33:75.7,75.7,76,75.70&38:10000&18:65535
&1730&1599887471&17:0&32:-1.0,-1.0,-1,-1.00&33:77.6,77.6,78,77.60&38:10000&18:65535
&1730&1599888072&17:0&32:-1.0,-1.0,-1,-1.00&33:2.0,23.8,941,8.34&38:10000&18:65535
&1730&1599888674&17:0&32:-1.0,-1.0,-1,-1.00&33:77.7,23.7,941,8.25&38:10000&18:65535
&1730&1599889275&17:0&32:-1.0,-1.0,-1,-1.00&33:77.3,23.7,941,8.21&38:10000&18:65535
&1730&1599889877&17:0&32:-1.0,-1.0,-1,-1.00&33:76.6,76.6,77,76.60&38:10000&18:65535
&1730&1599890478&17:0&32:-1.0,-1.0,-1,-1.00&33:76.2,76.2,76,76.20&38:10000&18:65535
&1730&1599891079&17:0&32:-1.0,-1.0,-1,-1.00&33:75.8,75.9,76,75.90&38:10000&18:65535
&1730&1599891681&17:0&32:-1.0,-1.0,-1,-1.00&33:75.9,75.9,76,76.00&38:10000&18:65535
&1730&1599892283&17:0&32:-1.0,-1.0,-1,-1.00&33:76.1,76.1,76,76.10&38:10000&18:65535
&1730&1599892884&17:0&32:-1.0,-1.0,-1,-1.00&33:76.4,76.4,76,76.40&38:10000&18:65535
&1730&1599893485&17:0&32:-1.0,-1.0,-1,-1.00&33:76.2,76.2,76,76.20&38:10000&18:65535
&1730&1599894086&17:0&32:-1.0,-1.0,-1,-1.00&33:76.4,24.4,946,8.08&38:10000&18:65535
&1730&1599894688&17:0&32:-1.0,-1.0,-1,-1.00&33:76.1,24.5,947,8.03&38:10000&18:65535
&1730&1599895290&17:0&32:-1.0,-1.0,-1,-1.00&33:76.7,24.4,946,8.11&38:10000&18:65535
&1730&1599895891&17:0&32:-1.0,-1.0,-1,-1.00&33:77.9,77.9,78,77.90&38:10000&18:65535
&1730&1599896493&17:0&32:-1.0,-1.0,-1,-1.00&33:79.6,79.6,80,79.60&38:10000&18:65535
&1730&1599897094&17:0&32:-1.0,-1.0,-1,-1.00&33:79.4,79.4,79,79.40&38:10000&18:65535
&1730&1599897695&17:0&32:-1.0,-1.0,-1,-1.00&33:79.5,79.5,80,79.50&38:10000&18:65535
&1730&1599898296&17:0&32:-1.0,-1.0,-1,-1.00&33:79.8,79.8,80,79.80&38:10000&18:65535
&1730&1599898898&17:0&32:-1.0,-1.0,-1,-1.00&33:80.8,80.8,81,80.90&38:10000&18:65535
&1730&1599899499&17:0&32:-1.0,-1.0,-1,-1.00&33:80.6,80.6,81,80.60&38:10000&18:65535
&1730&1599900100&17:0&32:-1.0,-1.0,-1,-1.00&33:80.1,80.1,80,80.10&38:10000&18:65535
&1730&1599900701&17:0&32:-1.0,-1.0,-1,-1.00&33:79.6,79.6,80,79.70&38:10000&18:65535
&1730&1599901303&17:0&32:-1.0,-1.0,-1,-1.00&33:79.3,79.3,79,79.40&38:10000&18:65535
&1730&1599901905&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1730&1599902506&17:0&32:-1.0,-1.0,-1,-1.00&33:79.7,79.7,80,79.70&38:10000&18:65535
&1730&1599903107&17:0&32:-1.0,-1.0,-1,-1.00&33:79.6,79.6,80,79.60&38:10000&18:65535
&1730&1599903708&17:0&32:-1.0,-1.0,-1,-1.00&33:79.1,79.1,79,79.10&38:10000&18:65535
