:1729&1599057269-1.7.0-253&17:101&32:195&33:214&38:100&18:102
&1729&1599057285&17:0&32:-1.0,-1.0,-1,-1.00&33:-1.0,-1.0,-1,-1.00&38:10000&18:65535
&1729&1599110785&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.90&38:10000&18:65535
&1729&1599111386&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599111987&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599112589&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599113191&17:0&32:-1.0,-1.0,-1,-1.00&33:78.9,78.9,79,78.90&38:10000&18:65535
&1729&1599113792&17:0&32:-1.0,-1.0,-1,-1.00&33:78.8,78.8,79,78.80&38:10000&18:65535
&1729&1599114393&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.80&38:10000&18:65535
&1729&1599114994&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.80&38:10000&18:65535
&1729&1599115595&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599116196&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.60&38:10000&18:65535
&1729&1599116797&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599117399&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.6,79,78.60&38:10000&18:65535
&1729&1599118000&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.6,79,78.60&38:10000&18:65535
&1729&1599118601&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.6,79,78.60&38:10000&18:65535
&1729&1599119202&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599119803&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599120405&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599121006&17:0&32:-1.0,-1.0,-1,-1.00&33:78.7,78.7,79,78.70&38:10000&18:65535
&1729&1599121607&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.6,79,78.60&38:10000&18:65535
&1729&1599122208&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599122810&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599123411&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599124013&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599124614&17:0&32:-1.0,-1.0,-1,-1.00&33:78.5,78.5,78,78.50&38:10000&18:65535
&1729&1599125215&17:0&32:-1.0,-1.0,-1,-1.00&33:78.6,78.6,79,78.70&38:10000&18:65535
&1729&1599125816&17:0&32:-1.0,-1.0,-1,-1.00&33:78.4,78.4,78,78.40&38:10000&18:65535
&1729&1599126417&17:0&32:-1.0,-1.0,-1,-1.00&33:78.3,78.3,78,78.30&38:10000&18:65535
