:796&1607981296-1.9.0-281&17:296&32:194&33:213&18:105
&796&1608002419&17:10000,1.6&32:2.0,1.0,1,1.00&33:1.0,129.7,901,14.40&18:10000,2.0&0:6.3
&796&1608002719&17:10000,1.6&32:0.0,0.0,0,0.00&33:130.0,4.1,901,14.43&18:10000,2.0&0:6.1
&796&1608003019&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.7,901,14.40&18:10000,2.0&0:6.1
&796&1608003319&17:10000,1.6&32:0.0,2.0,1,1.00&33:1.0,129.7,4,14.39&18:10000,2.0&0:6.0
&796&1608003619&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.7,901,14.39&18:10000,2.0&0:6.1
&796&1608003919&17:10000,1.6&32:4.0,1.0,1,1.00&33:1.0,129.7,901,14.39&18:10000,2.0&0:6.0
&796&1608004219&17:10000,1.6&32:2.0,1.0,1,1.00&33:130.0,4.1,901,14.43&18:10000,2.0&0:5.8
&796&1608004519&17:10000,1.6&32:1.0,0.0,2,1.00&33:1.0,130.0,901,14.43&18:10000,2.0&0:5.7
&796&1608004819&17:10000,1.6&32:0.0,0.0,2,0.00&33:129.9,4.1,901,14.42&18:10000,2.0&0:5.6
&796&1608005119&17:10000,1.6&32:0.0,0.0,0,0.00&33:129.6,4.1,901,14.38&18:10000,2.0&0:5.7
&796&1608005419&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.9,901,14.41&18:10000,2.0&0:5.3
&796&1608005719&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,901,14.40&18:10000,2.0&0:5.4
&796&1608006019&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.8,901,14.41&18:10000,2.0&0:5.2
&796&1608006319&17:10000,1.6&32:0.0,0.0,0,2.00&33:129.8,4.1,901,14.41&18:10000,2.0&0:5.2
&796&1608006619&17:10000,1.5&32:0.0,2.0,1,0.00&33:130.1,4.0,901,14.44&18:10000,2.0&0:5.0
&796&1608006919&17:10000,1.5&32:2.0,1.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:4.6
&796&1608007219&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.7,4.0,901,14.40&18:10000,1.9&0:4.7
&796&1608007519&17:10000,1.6&32:1.0,1.0,1,1.00&33:1.0,129.7,901,14.39&18:10000,1.9&0:4.8
&796&1608007819&17:10000,1.5&32:2.0,1.0,1,1.00&33:129.7,4.0,901,14.40&18:10000,1.9&0:4.8
&796&1608008119&17:10000,1.5&32:2.0,1.0,1,11.00&33:1.0,129.7,901,14.40&18:10000,1.9&0:4.8
&796&1608008419&17:10000,1.5&32:2.0,1.0,1,1.00&33:1.0,130.0,901,14.43&18:10000,1.9&0:4.6
&796&1608008719&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,130.1,901,14.44&18:10000,2.0&0:4.6
&796&1608009019&17:10000,1.5&32:2.0,1.0,1,1.00&33:129.7,4.0,901,14.40&18:10000,1.9&0:4.6
&796&1608009319&17:10000,1.6&32:2.0,1.0,1,1.00&33:1.0,130.0,901,14.43&18:10000,2.0&0:4.4
&796&1608009619&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,2.0&0:4.2
&796&1608009919&17:10000,1.5&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:4.2
&796&1608010219&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:4.2
&796&1608010519&17:10000,1.5&32:0.0,0.0,0,0.00&33:-1.0,-1.0,-1,-1.00&18:10000,2.0&0:4.1
&796&1608010819&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.7,4.1,901,14.40&18:10000,1.9&0:4.1
&796&1608011119&17:10000,1.5&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.9
&796&1608011419&17:10000,1.4&32:0.0,4.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.8
&796&1608011719&17:10000,1.5&32:0.0,0.0,0,2.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.8
&796&1608012019&17:10000,1.5&32:0.0,0.0,0,0.00&33:129.7,4.0,901,14.39&18:10000,1.9&0:4.1
&796&1608012319&17:10000,1.5&32:1.0,1.0,1,1.00&33:1.0,129.9,901,14.42&18:10000,1.9&0:3.9
&796&1608012619&17:10000,1.5&32:0.0,2.0,1,1.00&33:1.0,129.8,4,14.43&18:10000,1.9&0:3.9
&796&1608012919&17:10000,1.5&32:-1.0,-1.0,-1,-1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.5
&796&1608013219&17:10000,1.5&32:4.0,1.0,1,1.00&33:1.0,130.0,901,14.43&18:10000,1.9&0:3.8
&796&1608013519&17:10000,1.4&32:0.0,0.0,0,2.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608013819&17:10000,1.4&32:2.0,1.0,1,1.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.4
&796&1608014119&17:10000,1.5&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.5
&796&1608014419&17:10000,1.4&32:0.0,0.0,0,0.00&33:0.0,0.0,0,0.00&18:10000,1.9&0:3.5
